id,case_numbe,QUAD
7292394,1.01004E+11,NE
7292406,1.01004E+11,NE
7292412,1.01004E+11,NE
7292420,1.01004E+11,NE
7292423,1.01004E+11,NE
7292455,1.01004E+11,NE
7292467,1.01004E+11,SE
7292490,1.01004E+11,NE
7292491,1.01004E+11,NE
7292547,1.01004E+11,NE
7292579,1.01004E+11,NE
7292588,1.01004E+11,NE
7292617,1.01004E+11,NE
7292712,1.01004E+11,NE
7292737,1.01004E+11,NE
7292779,1.01004E+11,NE
7292793,1.01004E+11,NE
7292798,1.01004E+11,NE
7292800,1.01004E+11,NW
7292864,1.01004E+11,NW
7292876,1.01004E+11,SE
7292892,1.01004E+11,NE
7292938,1.01004E+11,NE
7292968,1.01004E+11,NW
7292970,1.01004E+11,NE
7293128,366305-101003657134,NE
7293131,366307-101003657137,NE
7293132,366309-101003657138,NE
7293319,1.01004E+11,SW
7293350,1.01004E+11,NE
7293353,1.01004E+11,NE
7293357,1.01004E+11,NE
7293562,1.01004E+11,NE
7293567,1.01004E+11,NE
7293581,1.01004E+11,NE
7293587,1.01004E+11,SE
7293634,1.01004E+11,NE
7293644,1.01004E+11,NE
7293677,1.01004E+11,NE
7293688,1.01004E+11,NE
7293697,1.01004E+11,NE
7293709,1.01004E+11,NE
7293728,1.01004E+11,NE
7293743,1.01004E+11,NE
7293867,1.01004E+11,NE
7293890,1.01004E+11,NE
7293907,1.01004E+11,NE
7293910,1.01004E+11,NE
7293935,1.01004E+11,SE
7293938,1.01004E+11,SE
7293940,1.01004E+11,NE
7293951,1.01004E+11,NE
7293960,1.01004E+11,NE
7293979,1.01004E+11,NE
7293983,1.01004E+11,NE
7293990,1.01004E+11,NE
7294004,1.01004E+11,NE
7294041,1.01004E+11,SE
7294055,1.01004E+11,NE
7294072,1.01004E+11,NE
7294081,1.01004E+11,NW
7294086,1.01004E+11,NE
7294113,1.01004E+11,SW
7294133,1.01004E+11,NW
7294137,1.01004E+11,NE
7294211,1.01004E+11,NE
7294268,1.01004E+11,NE
7294367,1.01004E+11,NE
7294433,1.01004E+11,NE
7294451,1.01004E+11,NE
7294472,1.01004E+11,NE
7294490,1.01004E+11,NE
7294516,1.01004E+11,NE
7294524,1.01004E+11,SE
7294533,1.01004E+11,NE
7294644,1.01004E+11,NE
7294906,1.01004E+11,SE
7295079,1.01004E+11,NE
7295167,1.01004E+11,NE
7295251,1.01004E+11,NE
7295303,1.01004E+11,NE
7295463,1.01004E+11,SE
7295476,366895-101003659724,SE
7295480,1.01004E+11,NE
7295497,1.01004E+11,SE
7295520,366899-101003659770,SE
7295575,1.01004E+11,NE
7295583,1.01004E+11,NE
7295680,366916-101003659943,NW
7295718,1.01004E+11,NE
7295751,1.01004E+11,SE
7295766,1.01004E+11,NE
7295774,1.01004E+11,NE
7295800,1.01004E+11,NE
7295828,366928-101003660112,SE
7295838,1.01004E+11,NE
7295868,1.01004E+11,NE
7295878,1.01004E+11,SW
7295882,1.01004E+11,SW
7295885,1.01004E+11,SE
7295970,1.01004E+11,SW
7295988,1.01004E+11,SE
7296008,1.01004E+11,SE
7296193,1.01004E+11,NE
7296230,1.01004E+11,NW
7296354,1.01004E+11,SE
7296440,1.01004E+11,NE
7296458,1.01004E+11,NE
7296505,1.01004E+11,SW
7296524,1.01004E+11,NE
7296541,1.01004E+11,NW
7296545,1.01004E+11,NE
7296612,1.01004E+11,SW
7296701,1.01004E+11,NE
7296944,1.01004E+11,NE
7296962,1.01004E+11,NE
7297053,366940-101003661516,NW
7297129,1.01004E+11,NE
7297133,1.01004E+11,NE
7297178,1.01004E+11,NE
7297270,1.01004E+11,SE
7297328,1.01004E+11,NE
7297475,1.01004E+11,NW
7297508,1.01004E+11,NE
7297558,1.01004E+11,SW
7297585,1.01004E+11,NW
7297591,1.01004E+11,NW
7297606,1.01004E+11,NE
7297719,1.01004E+11,NE
7297774,1.01004E+11,SW
7297833,1.01004E+11,NE
7297865,1.01004E+11,SW
7298012,1.01004E+11,NE
7298022,1.01004E+11,SW
7298033,1.01004E+11,NE
7298041,1.01004E+11,SW
7298047,1.01004E+11,SW
7298082,1.01004E+11,NE
7298110,1.01004E+11,NE
7298113,1.01004E+11,NW
7298247,1.01004E+11,NE
7298305,1.01004E+11,NE
7298322,1.01004E+11,NE
7298357,1.01004E+11,NE
7298380,1.01004E+11,NW
7298391,1.01004E+11,NE
7298507,1.01004E+11,NE
7298560,1.01004E+11,NE
7298590,1.01004E+11,NE
7298649,1.01004E+11,SW
7298790,367114-101003663518,SW
7298990,1.01004E+11,SW
7299008,1.01004E+11,NE
7299023,1.01004E+11,NW
7299093,1.01004E+11,NE
7299114,1.01004E+11,NE
7299124,1.01004E+11,NW
7299158,1.01004E+11,NE
7299296,1.01004E+11,NE
7299305,1.01004E+11,NE
7299312,1.01004E+11,NE
7299315,1.01004E+11,NW
7299317,1.01004E+11,NW
7299373,1.01004E+11,NE
7299390,1.01004E+11,NE
7299403,1.01004E+11,NW
7299561,1.01004E+11,NE
7299626,1.01004E+11,NE
7299634,1.01004E+11,NE
7299641,1.01004E+11,NE
7299707,1.01004E+11,NE
7299717,1.01004E+11,NE
7299722,1.01004E+11,NE
7299738,1.01004E+11,NE
7299891,1.01004E+11,NW
7299922,1.01004E+11,NE
7300067,1.01004E+11,NW
7300080,1.01004E+11,NE
7300081,1.01004E+11,NE
7300082,1.01004E+11,NE
7300095,1.01004E+11,NE
7300109,1.01004E+11,NE
7300179,1.01004E+11,NE
7300184,1.01004E+11,NE
7300197,1.01004E+11,NE
7300255,1.01004E+11,SE
7300342,1.01004E+11,NE
7300356,1.01004E+11,NE
7300390,1.01004E+11,NE
7300432,1.01004E+11,NE
7300466,1.01004E+11,NW
7300479,1.01004E+11,NE
7300731,1.01004E+11,NE
7300794,1.01004E+11,SE
7300844,1.01004E+11,NE
7300891,1.01004E+11,SE
7301081,1.01004E+11,NE
7301082,367620-101003666133,NW
7301094,1.01004E+11,SE
7301133,1.01004E+11,NE
7301134,367630-101003666193,SW
7301150,1.01004E+11,NE
7301241,1.01004E+11,NE
7301243,1.01004E+11,NE
7301269,1.01004E+11,NE
7301396,1.01004E+11,NW
7301400,1.01004E+11,NW
7301434,1.01004E+11,NE
7301625,367668-101003666729,NE
7301644,1.01004E+11,NE
7301660,367673-101003666769,SW
7301681,1.01004E+11,NE
7301697,367678-101003666807,SW
7302007,1.01004E+11,NW
7302208,1.01004E+11,SW
7302211,1.01004E+11,SW
7302412,1.01004E+11,NW
7302434,1.01004E+11,SW
7302520,1.01004E+11,NE
7302939,1.01004E+11,NE
7302967,1.01004E+11,NE
7302975,1.01004E+11,NE
7302989,1.01004E+11,NW
7303060,1.01004E+11,NE
7303087,1.01004E+11,NE
7303117,1.01004E+11,SW
7303153,1.01004E+11,NE
7303214,1.01004E+11,SW
7303367,1.01004E+11,SE
7303585,1.01004E+11,NW
7303607,1.01004E+11,NW
7303901,1.01004E+11,SW
7303947,367656-101003669421,SW
7303977,367840-101003669452,SW
7303988,367863-101003669463,SW
7303997,367889-101003669473,SW
7304024,367943-101003669502,SW
7304076,1.01004E+11,NE
7304300,1.01004E+11,NE
7304307,1.01004E+11,NW
7304310,1.01004E+11,NW
7304402,1.01004E+11,NE
7304620,1.01004E+11,NE
7304808,368017-101003670344,NE
7304815,1.01004E+11,NE
7304914,1.01004E+11,NW
7304962,1.01004E+11,SE
7304992,1.01004E+11,NE
7305023,1.01004E+11,NE
7305095,1.01004E+11,NE
7305198,1.01004E+11,NE
7305209,1.01004E+11,NE
7305212,1.01004E+11,NE
7305214,1.01004E+11,NE
7305216,1.01004E+11,NE
7305223,1.01004E+11,NE
7305226,1.01004E+11,NE
7305227,1.01004E+11,NE
7305233,1.01004E+11,NE
7305234,1.01004E+11,NE
7305237,1.01004E+11,NE
7305239,1.01004E+11,NE
7305245,1.01004E+11,NE
7305256,1.01004E+11,NE
7305260,1.01004E+11,NE
7305277,1.01004E+11,NE
7305279,1.01004E+11,NE
7305282,1.01004E+11,NE
7305285,1.01004E+11,NE
7305301,1.01004E+11,NE
7305305,1.01004E+11,NE
7305308,1.01004E+11,NE
7305312,1.01004E+11,NE
7305313,1.01004E+11,NE
7305314,1.01004E+11,NE
7305321,1.01004E+11,NE
7305327,1.01004E+11,NE
7305332,1.01004E+11,NE
7305334,1.01004E+11,NE
7305337,1.01004E+11,NE
7305385,1.01004E+11,NE
7305454,368087-101003671089,SE
7305566,1.01004E+11,NE
7305630,1.01004E+11,NE
7305631,1.01004E+11,NE
7305712,1.01004E+11,NE
7305715,1.01004E+11,NE
7305717,1.01004E+11,NE
7305720,1.01004E+11,NE
7305721,1.01004E+11,NE
7305725,1.01004E+11,NE
7305726,1.01004E+11,NE
7305730,1.01004E+11,NE
7305733,1.01004E+11,NE
7305734,1.01004E+11,NE
7305735,1.01004E+11,NE
7305738,1.01004E+11,NE
