id,case_number,district,sr_location,latitude,longitude
31358885,101003985657,B,"210 GOODSON, HOUSTON TX 77060",29.92538041,-95.40090324
31358958,101003985714,K,"5214 KNOTTY OAKS, HOUSTON TX 77045",29.63309086,-95.45951369
31359007,101003985764,K,"3910 SMOOTH OAK, HOUSTON TX 77053",29.61190436,-95.43625483
31359010,101003985766,I,"6206 OVERDALE, HOUSTON TX 77087",29.65782396,-95.31433289
31359013,101003985768,A,"9737 TAPPENBECK, HOUSTON TX 77055",29.79370578,-95.53149557
31359026,101003995776,A,"9507 CAROUSEL, HOUSTON TX 77080",29.81407296,-95.52689339
31359077,101003995810,A,"9206 VOGUE, HOUSTON TX 77080",29.81374893,-95.51744344
31359166,101003995872,A,"8519 VOGUE, HOUSTON TX 77055",29.81309652,-95.499296
31359310,101003995967,D,"1322 BAYSWATER, HOUSTON TX 77047",29.614499,-95.40179551
31359338,101003995986,D,"3446 SEABROOK, HOUSTON TX 77021",29.68728907,-95.37505016
31359434,101003996050,A,"8302 WESTERN, HOUSTON TX 77055",29.80534973,-95.49419676
31359444,101003996056,A,"8926 SPRINGVIEW, HOUSTON TX 77080",29.8303856,-95.51302655
31359448,101003996059,D,"818 HEATHERTON HILL, HOUSTON TX 77047",29.6141302,-95.40864454
31359453,101003996062,A,"8566 RANNIE, HOUSTON TX 77080",29.82709254,-95.50271159
31359456,101003996064,D,"4833 BRISCOE, HOUSTON TX 77033",29.67148,-95.35332664
31359458,101003996065,A,"9355 COLLEEN, HOUSTON TX 77080",29.82511145,-95.52473154
31359459,101003996066,H,"210 FRAWLEY, HOUSTON TX 77009",29.80133138,-95.36907907
31359470,101003996074,K,"12307 VALLEY HILLS, HOUSTON TX 77071",29.64319143,-95.51395343
31359509,101003996099,K,"4035 KNOTTYNOLD, HOUSTON TX 77053",29.61056908,-95.43855324
31359530,101003996112,A,"6645 UNDERHILL, HOUSTON TX 77092",29.82733877,-95.49098233
31359574,101003996140,A,"3327 LIVELY, HOUSTON TX 77080",29.82392647,-95.53361421
31359592,101003996151,B,"231 BUCKBOARD, HOUSTON TX 77060",29.92889708,-95.40095897
31359616,101003996166,I,"6043 HARBROOK, HOUSTON TX 77087",29.67631324,-95.29947816
31359617,101003996167,D,"12839 SCOTT, HOUSTON TX 77047",29.62310522,-95.36798245
31359628,101003996174,D,"10727 SOUTHVIEW, HOUSTON TX 77047",29.64249039,-95.36503285
31359634,101003996178,D,"5639 BELDART, HOUSTON TX 77033",29.66187174,-95.33869065
